                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2887,                 4.1722,                 4.3286,                0.00218,                 0.6125,                0.00856,                0.00251,                 2.8447,                 4.0163,                 4.1568,                0.00032,                0.00032,                0.00032
                      2,                 3.3526,                 4.0093,                 4.1879,                0.00222,                  0.625,                0.00461,                 0.0013,                 2.8387,                 4.0313,                 4.1498,             0.00065347,             0.00065347,             0.00065347
                      3,                 3.3485,                 3.7487,                 4.0123,                0.00218,                 0.6125,                 0.0036,                 0.0012,                 2.8459,                 4.0507,                 4.1708,              0.0009802,              0.0009802,              0.0009802
                      4,                 3.1366,                 3.3611,                  3.711,                0.00213,                    0.6,                 0.0034,                0.00112,                 2.8397,                 3.4701,                 4.2295,              0.0013002,              0.0013002,              0.0013002
                      5,                 3.0504,                 3.0373,                 3.5342,                0.06474,                  0.075,                0.02388,                0.00619,                 2.7483,                 3.3912,                 3.8021,              0.0016135,              0.0016135,              0.0016135
                      6,                  2.876,                 2.8402,                 3.3859,                0.25306,                 0.1375,                0.11845,                0.03705,                 2.7514,                 3.4173,                 6.4238,               0.001901,               0.001901,               0.001901
                      7,                 2.6916,                 2.8364,                 3.3034,                0.27267,                 0.1125,                0.09207,                0.02072,                 3.2629,                 4.6219,                 7.1367,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5665,                 2.5199,                  3.149,                0.45223,                 0.1125,                0.08685,                0.03443,                  3.239,                 4.7392,                 11.644,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4579,                 2.4367,                 3.0674,                0.17363,                 0.0625,                 0.0543,                0.01842,                 3.2718,                 4.0908,                 6.8026,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3367,                 2.2865,                 2.9529,                 0.2144,                 0.2375,                0.17208,                0.08074,                 2.6896,                  3.283,                 6.7812,              0.0018218,              0.0018218,              0.0018218
